기준연도,시도코드,시도명,시군구코드,시군구명,분만_A취약지,분만_접근성취약인구비율(백분율),분만_TRI(백분율),소아청소년과_취약지,소아청소년과_접근성취약인구비율(백분율),소아청소년과_TRI(백분율),인공신장실_취약지,인공신장실_접근성취약인구비율(백분율),인공신장실_TRI(백분율),응급_취약지,가임여성인구(백분율),분만건수(건),인구수(명),노인인구비율(백분율),재정자립도(백분율),의료급여 수급자 비율(백분율),면적당종합병원(100제곱킬로미터당 개수),면적당병원(100제곱킬로미터당 개수),면적당의원(100제곱킬로미터당 개수)
2023,48,경상남도,48840,남해군,Y,82.37777778,0,,5.36,14.95,,6.970429237,62.63196661,Y,10.93918588,74,40780,41.41490927,8.9,4.041196665,0,0.279500655,6.14901442
2023,48,경상남도,48850,하동군,,9.41099318,28.37837838,,27.82,25.54,,10.29879839,71.55738851,Y,10.45041581,74,41606,39.70100466,10.4,4.763736,0,0,2.81355952
2023,48,경상남도,48860,산청군,,33.54762579,51.42857143,,32.58,53.44,,23.15838222,39.71272089,Y,10.25420716,70,33752,41.02571699,8.2,4.263451055,0,0.125831673,1.887475091
2023,48,경상남도,48870,함양군,,15.68045055,1.176470588,,10.85,22.96,,4.91966759,70.34646008,Y,12.16402761,85,36945,37.89687373,9.9,4.471511707,0,0.137983293,2.75966586
2023,48,경상남도,48880,거창군,,1.561107818,1.176470588,,0.93,64.98,,2.141552669,91.07659347,Y,15.0232318,170,60047,30.8691525,8.5,3.995203757,0,0.37315448,3.855929627
2023,48,경상남도,48890,합천군,Y,85.1721663,3.174603175,,11.3,15.89,,15.18414872,50.93310713,Y,9.618231682,63,41203,43.49683275,8.1,4.759362182,0,0.101717148,1.729191521
2023,50,제주특별자치도,50110,제주시,,8.18165093,88.0756579,,6.58,82.46,,6.774489562,85.13696772,,21.96463367,2432,491654,16.49839114,33.3,2.956957535,0.510846671,1.021693342,38.72217766
2023,50,제주특별자치도,50130,서귀포시,,31.8441354,35.6462585,Y,31.75,26.11,,30.01601182,60.43603144,Y,18.93702546,735,183598,21.8090611,33.3,3.188487892,0.114743865,0.458975461,13.53977609
2023,51,강원도,51110,춘천시,,0.417486973,88.3107089,,0.31,79.08,,0.39133308,95.22816608,,21.16148674,1326,286426,20.46287697,20.1,4.015696899,0.179144725,0.447861813,15.85430819
2023,51,강원도,51130,원주시,,0.241759638,86.19246862,,0.13,70,,0.095702156,93.64163573,,21.7068738,1912,361503,17.83857949,19,3.10343206,0.230339066,2.303390662,25.45246682
