기준연도,대분류,대분류 코드,중분류,중분류 코드,지역1,지역2,입원건수
2023,입원전체,0,입원 전체,0,47190,11110,6
2023,입원전체,0,입원 전체,0,47210,11110,14
2023,입원전체,0,입원 전체,0,47230,11110,1
2023,입원전체,0,입원 전체,0,47250,11110,0
2023,입원전체,0,입원 전체,0,47280,11110,1
2023,입원전체,0,입원 전체,0,47290,11110,0
2023,입원전체,0,입원 전체,0,47720,11110,0
2023,입원전체,0,입원 전체,0,47730,11110,0
2023,입원전체,0,입원 전체,0,47750,11110,0
2023,입원전체,0,입원 전체,0,47760,11110,0
2023,입원전체,0,입원 전체,0,47770,11110,0
2023,입원전체,0,입원 전체,0,47820,11110,0
2023,입원전체,0,입원 전체,0,47830,11110,1
2023,입원전체,0,입원 전체,0,47840,11110,0
2023,입원전체,0,입원 전체,0,47850,11110,0
2023,입원전체,0,입원 전체,0,47900,11110,0
2023,입원전체,0,입원 전체,0,47920,11110,0
2023,입원전체,0,입원 전체,0,47930,11110,0
2023,입원전체,0,입원 전체,0,47940,11110,0
2023,입원전체,0,입원 전체,0,48121,11110,12
2023,입원전체,0,입원 전체,0,48123,11110,4
2023,입원전체,0,입원 전체,0,48125,11110,1
2023,입원전체,0,입원 전체,0,48127,11110,3
2023,입원전체,0,입원 전체,0,48129,11110,2
2023,입원전체,0,입원 전체,0,48170,11110,15
2023,입원전체,0,입원 전체,0,48220,11110,1
2023,입원전체,0,입원 전체,0,48240,11110,0
2023,입원전체,0,입원 전체,0,48250,11110,6
2023,입원전체,0,입원 전체,0,48270,11110,0
2023,입원전체,0,입원 전체,0,48310,11110,13
2023,입원전체,0,입원 전체,0,48330,11110,10
2023,입원전체,0,입원 전체,0,48720,11110,1
2023,입원전체,0,입원 전체,0,48730,11110,0
2023,입원전체,0,입원 전체,0,48740,11110,0
2023,입원전체,0,입원 전체,0,48820,11110,0
2023,입원전체,0,입원 전체,0,48840,11110,0
2023,입원전체,0,입원 전체,0,48850,11110,0
2023,입원전체,0,입원 전체,0,48860,11110,0
2023,입원전체,0,입원 전체,0,48870,11110,1
2023,입원전체,0,입원 전체,0,48880,11110,0
2023,입원전체,0,입원 전체,0,48890,11110,1
2023,입원전체,0,입원 전체,0,50110,11110,30
2023,입원전체,0,입원 전체,0,50130,11110,11
2023,입원전체,0,입원 전체,0,51110,11110,20
2023,입원전체,0,입원 전체,0,51130,11110,35
2023,입원전체,0,입원 전체,0,51150,11110,24
2023,입원전체,0,입원 전체,0,51170,11110,3
2023,입원전체,0,입원 전체,0,51190,11110,0
2023,입원전체,0,입원 전체,0,51210,11110,3
2023,입원전체,0,입원 전체,0,51230,11110,5
2023,입원전체,0,입원 전체,0,51720,11110,0
2023,입원전체,0,입원 전체,0,51730,11110,0
2023,입원전체,0,입원 전체,0,51750,11110,0
2023,입원전체,0,입원 전체,0,51760,11110,0
2023,입원전체,0,입원 전체,0,51770,11110,0
2023,입원전체,0,입원 전체,0,51780,11110,0
2023,입원전체,0,입원 전체,0,51790,11110,0
2023,입원전체,0,입원 전체,0,51800,11110,0
2023,입원전체,0,입원 전체,0,51810,11110,0
2023,입원전체,0,입원 전체,0,51820,11110,0
2023,입원전체,0,입원 전체,0,51830,11110,0
2023,입원전체,0,입원 전체,0,11110,11140,3436
2023,입원전체,0,입원 전체,0,11140,11140,5275
2023,입원전체,0,입원 전체,0,11170,11140,3058
2023,입원전체,0,입원 전체,0,11200,11140,2143
2023,입원전체,0,입원 전체,0,11215,11140,318
2023,입원전체,0,입원 전체,0,11230,11140,727
2023,입원전체,0,입원 전체,0,11260,11140,280
2023,입원전체,0,입원 전체,0,11290,11140,1231
2023,입원전체,0,입원 전체,0,11305,11140,206
2023,입원전체,0,입원 전체,0,11320,11140,82
2023,입원전체,0,입원 전체,0,11350,11140,104
2023,입원전체,0,입원 전체,0,11380,11140,560
2023,입원전체,0,입원 전체,0,11410,11140,1026
2023,입원전체,0,입원 전체,0,11440,11140,97
2023,입원전체,0,입원 전체,0,11470,11140,163
2023,입원전체,0,입원 전체,0,11500,11140,182
2023,입원전체,0,입원 전체,0,11530,11140,119
2023,입원전체,0,입원 전체,0,11545,11140,22
2023,입원전체,0,입원 전체,0,11560,11140,386
2023,입원전체,0,입원 전체,0,11590,11140,265
2023,입원전체,0,입원 전체,0,11620,11140,69
2023,입원전체,0,입원 전체,0,11650,11140,686
2023,입원전체,0,입원 전체,0,11680,11140,1456
2023,입원전체,0,입원 전체,0,11710,11140,662
2023,입원전체,0,입원 전체,0,11740,11140,413
2023,입원전체,0,입원 전체,0,26110,11140,1
2023,입원전체,0,입원 전체,0,26140,11140,0
